start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
2006-04-13,2006-04-16,2006-04-14,300.562208147769,4,NERC,84.7107438016529,-3.0,19635.244271769083,315.139885470513,9,3.0594379419279676,-4.0
2006-04-14,2006-04-20,2006-04-19,303.011345596826,7,NERC,75.206611570248,-1.0,21756.323690946865,315.139885470513,9,3.0594379419279676,-4.0
2006-04-14,2006-04-19,2006-04-17,308.561584535405,6,NERC,92.0212765957447,-5.0,23607.693198159293,315.139885470513,9,3.0594379419279676,-4.0
2006-04-19,2006-04-21,2006-04-20,305.635378297036,3,NERC,49.1228070175439,1.0,24524.599333050402,315.139885470513,9,3.0594379419279676,-4.0
2006-04-22,2006-04-24,2006-04-23,304.99980716947,3,NERC,61.875,-1.0,25439.598754558814,315.139885470513,9,3.0594379419279676,-4.0
2006-04-23,2006-04-25,2006-04-23,303.069782073291,3,NERC,45.0617283950617,-2.0,26348.808100778686,315.139885470513,9,3.0594379419279676,-4.0
2006-04-23,2006-04-25,2006-04-24,306.21249878194,3,NERC,31.9148936170213,19.0,27267.445597124508,315.139885470513,9,3.0594379419279676,-4.0
2006-05-14,2006-05-19,2006-05-18,299.784197093223,6,NERC,85.7777777777778,-1.0,29066.150779683845,315.139885470513,9,3.0594379419279676,-4.0
2006-05-18,2006-05-22,2006-05-19,299.358910732565,5,NERC,61.6279069767442,-3.0,30562.94533334667,315.139885470513,9,3.0594379419279676,-4.0
2006-05-19,2006-05-21,2006-05-19,308.462893154114,3,NERC,54.375,-2.0,31488.33401280901,315.139885470513,9,3.0594379419279676,-4.0
2006-05-19,2006-05-21,2006-05-19,304.093238875685,3,NERC,43.1818181818182,2.0,32400.613729436067,315.139885470513,9,3.0594379419279676,-4.0
2006-05-23,2006-05-29,2006-05-25,307.85205771491,7,NERC,79.0625,-5.0,34555.57813344044,315.139885470513,9,3.0594379419279676,-4.0
2006-05-24,2006-05-29,2006-05-27,305.847583753627,6,NERC,97.9865771812081,-4.0,36390.6636359622,315.139885470513,9,3.0594379419279676,-4.0
2006-05-24,2006-05-27,2006-05-25,306.632128749123,4,NERC,64.8148148148148,-3.0,37617.19215095869,315.139885470513,9,3.0594379419279676,-4.0
2006-05-25,2006-05-27,2006-05-26,300.745417603325,3,NERC,58.1395348837209,-1.0,38519.42840376867,315.139885470513,9,3.0594379419279676,-4.0
2006-05-26,2006-05-29,2006-05-28,305.439820808823,4,NERC,86.9198312236287,-2.0,39741.187687003956,315.139885470513,9,3.0594379419279676,-4.0
2006-05-27,2006-05-29,2006-05-28,304.563756394951,3,NERC,68.5950413223141,-1.0,40654.87895618881,315.139885470513,9,3.0594379419279676,-4.0
2006-05-28,2006-05-31,2006-05-29,302.982699642736,4,NERC,86.3095238095238,-2.0,41866.80975475976,315.139885470513,9,3.0594379419279676,-4.0
2006-05-29,2006-05-31,2006-05-30,301.311285400666,3,NERC,72.1311475409836,2.0,42770.743610961756,315.139885470513,9,3.0594379419279676,-4.0
2006-06-02,2006-06-07,2006-06-06,302.538080785388,6,NERC,61.6279069767442,-2.0,44585.97209567408,315.139885470513,9,3.0594379419279676,-4.0
2006-06-05,2006-06-07,2006-06-07,308.157293331276,3,NERC,48.125,1.0,45510.443975667906,315.139885470513,9,3.0594379419279676,-4.0
2006-06-08,2006-06-12,2006-06-10,308.302089232422,5,NERC,57.4074074074074,10.0,47051.954421830014,315.139885470513,9,3.0594379419279676,-4.0
2006-06-22,2006-06-24,2006-06-23,305.941188793464,3,NERC,51.8518518518519,6.0,47969.77798821041,315.139885470513,9,3.0594379419279676,-4.0
2006-06-30,2006-07-02,2006-07-02,308.371407096851,3,NERC,53.0201342281879,11.0,48894.89220950096,315.139885470513,9,3.0594379419279676,-4.0
2006-07-13,2006-07-21,2006-07-19,315.139885470513,9,NERC,87.5,-7.0,51731.15117873558,315.139885470513,9,3.0594379419279676,-4.0
2006-07-13,2006-07-17,2006-07-16,311.557241857992,5,NERC,77.0042194092827,-4.0,53288.93738802554,315.139885470513,9,3.0594379419279676,-4.0
2006-07-14,2006-07-17,2006-07-16,306.720547475533,4,NERC,60.4651162790698,-2.0,54515.81957792767,315.139885470513,9,3.0594379419279676,-4.0
2006-07-15,2006-07-21,2006-07-19,311.070172471123,7,NERC,59.7315436241611,-5.0,56693.310785225534,315.139885470513,9,3.0594379419279676,-4.0
2006-07-16,2006-07-18,2006-07-17,307.498035601472,3,NERC,53.7037037037037,-2.0,57615.80489202995,315.139885470513,9,3.0594379419279676,-4.0
2006-07-16,2006-07-18,2006-07-17,303.156058607118,3,NERC,44.7761194029851,-2.0,58525.2730678513,315.139885470513,9,3.0594379419279676,-4.0
2006-07-16,2006-07-21,2006-07-19,308.194646076641,6,NERC,85.9504132231405,-5.0,60374.44094431115,315.139885470513,9,3.0594379419279676,-4.0
2006-07-16,2006-07-22,2006-07-21,311.436188654748,7,NERC,77.7777777777778,-2.0,62554.49426489438,315.139885470513,9,3.0594379419279676,-4.0
2006-07-20,2006-07-26,2006-07-22,310.69782579234,7,NERC,77.7777777777778,-5.0,64729.379045440764,315.139885470513,9,3.0594379419279676,-4.0
2006-07-21,2006-07-24,2006-07-22,306.574871451786,4,NERC,73.3333333333333,3.0,65955.6785312479,315.139885470513,9,3.0594379419279676,-4.0
2006-07-27,2006-08-01,2006-07-31,313.05976131156,6,NERC,77.8481012658228,-4.0,67834.03709911727,315.139885470513,9,3.0594379419279676,-4.0
2006-07-28,2006-07-31,2006-07-30,304.922752690435,4,NERC,53.4883720930233,-2.0,69053.72810987901,315.139885470513,9,3.0594379419279676,-4.0
2006-07-29,2006-08-03,2006-08-02,312.236419094588,6,NERC,87.9194630872483,-3.0,70927.14662444654,315.139885470513,9,3.0594379419279676,-4.0
2006-07-31,2006-08-03,2006-08-01,304.656070694412,4,NERC,75.4098360655738,-3.0,72145.77090722419,315.139885470513,9,3.0594379419279676,-4.0
2006-07-31,2006-08-03,2006-08-01,305.904613933975,4,NERC,86.1111111111111,-3.0,73369.38936296008,315.139885470513,9,3.0594379419279676,-4.0
2006-07-31,2006-08-04,2006-08-03,308.720588564466,5,NERC,75.6198347107438,-3.0,74912.99230578242,315.139885470513,9,3.0594379419279676,-4.0
2006-08-01,2006-08-03,2006-08-02,304.7207760551,3,NERC,46.2686567164179,-1.0,75827.15463394772,315.139885470513,9,3.0594379419279676,-4.0
2006-08-02,2006-08-04,2006-08-03,311.285314160566,3,NERC,50.6172839506173,4.0,76761.01057642941,315.139885470513,9,3.0594379419279676,-4.0
2006-08-08,2006-08-10,2006-08-09,312.008023028621,3,NERC,56.1728395061729,3.0,77697.03464551528,315.139885470513,9,3.0594379419279676,-4.0
2006-08-13,2006-08-19,2006-08-15,312.100512803192,7,NERC,77.1604938271605,-2.0,79881.73823513761,315.139885470513,9,3.0594379419279676,-4.0
2006-08-17,2006-08-19,2006-08-19,307.346271858214,3,NERC,50.4132231404959,6.0,80803.77705071226,315.139885470513,9,3.0594379419279676,-4.0
2006-08-25,2006-08-27,2006-08-25,307.256088810105,3,NERC,46.6942148760331,35.0,81725.54531714258,315.139885470513,9,3.0594379419279676,-4.0
2006-10-01,2006-10-03,2006-10-01,301.529121813674,3,NERC,52.1097046413502,-2.0,82630.1326825836,315.139885470513,9,3.0594379419279676,-4.0
2006-10-01,2006-10-03,2006-10-03,307.351510589461,3,NERC,90.3125,-2.0,83552.18721435199,315.139885470513,9,3.0594379419279676,-4.0
2006-10-01,2006-10-05,2006-10-03,306.953935106322,5,NERC,88.8888888888889,13.0,85086.95688988359,315.139885470513,9,3.0594379419279676,-4.0
2006-10-01,2006-10-04,2006-10-03,306.875330907169,4,NERC,71.8120805369128,-3.0,86314.45821351226,315.139885470513,9,3.0594379419279676,-4.0
2006-10-18,2006-10-20,2006-10-19,304.88019611679,3,NERC,63.1578947368421,19.0,87229.09880186264,315.139885470513,9,3.0594379419279676,-4.0
2006-11-08,2006-11-10,2006-11-09,303.198228852195,3,NERC,39.3617021276596,55.0,88138.69348841922,315.139885470513,9,3.0594379419279676,-4.0
2007-01-04,2007-01-07,2007-01-07,300.765023774464,4,NERC,64.9122807017544,65.0,1203.060095097856,312.998479544285,25,-2.1414059262280034,16.0
2007-03-13,2007-03-20,2007-03-17,299.359732584875,8,NERC,72.7272727272727,1.0,3597.937955776856,312.998479544285,25,-2.1414059262280034,16.0
2007-03-21,2007-03-29,2007-03-25,300.967731590386,9,NERC,97.9338842975207,-5.0,6306.64754009033,312.998479544285,25,-2.1414059262280034,16.0
2007-03-24,2007-03-29,2007-03-25,299.644323025727,6,NERC,99.3288590604027,-5.0,8104.513478244692,312.998479544285,25,-2.1414059262280034,16.0
2007-03-24,2007-03-29,2007-03-25,302.571005949267,6,NERC,74.3801652892562,-1.0,9919.939513940293,312.998479544285,25,-2.1414059262280034,16.0
2007-03-24,2007-03-26,2007-03-25,300.376614565383,3,NERC,62.3456790123457,-2.0,10821.069357636443,312.998479544285,25,-2.1414059262280034,16.0
2007-03-28,2007-03-30,2007-03-29,301.043314805873,3,NERC,54.9382716049383,28.0,11724.199302054061,312.998479544285,25,-2.1414059262280034,16.0
2007-04-27,2007-04-29,2007-04-28,300.138566050096,3,NERC,57.4074074074074,-1.0,12624.61500020435,312.998479544285,25,-2.1414059262280034,16.0
2007-04-28,2007-04-30,2007-04-29,300.937732295005,3,NERC,45.3586497890295,-1.0,13527.428197089364,312.998479544285,25,-2.1414059262280034,16.0
2007-04-29,2007-05-01,2007-04-30,302.380843390391,3,NERC,60.4026845637584,-1.0,14434.570727260538,312.998479544285,25,-2.1414059262280034,16.0
2007-04-30,2007-05-02,2007-05-02,302.632587046159,3,NERC,52.3605150214592,-1.0,15342.468488399016,312.998479544285,25,-2.1414059262280034,16.0
2007-05-01,2007-05-03,2007-05-01,303.725102032942,3,NERC,45.0413223140496,4.0,16253.64379449784,312.998479544285,25,-2.1414059262280034,16.0
2007-05-07,2007-05-09,2007-05-08,300.793540562577,3,NERC,44.4444444444444,2.0,17156.024416185574,312.998479544285,25,-2.1414059262280034,16.0
2007-05-11,2007-05-13,2007-05-13,298.187916547206,3,NERC,56.9767441860465,18.0,18050.58816582719,312.998479544285,25,-2.1414059262280034,16.0
2007-05-31,2007-06-02,2007-05-31,299.827212472526,3,NERC,57.3770491803279,0.0,18950.06980324477,312.998479544285,25,-2.1414059262280034,16.0
2007-06-02,2007-06-04,2007-06-04,298.902234919592,3,NERC,43.5555555555556,9.0,19846.776508003546,312.998479544285,25,-2.1414059262280034,16.0
2007-06-13,2007-06-15,2007-06-14,305.511467780833,3,NERC,55.5555555555556,16.0,20763.310911346045,312.998479544285,25,-2.1414059262280034,16.0
2007-07-01,2007-07-04,2007-07-03,309.377781112136,4,NERC,45.4545454545455,0.0,22000.822035794587,312.998479544285,25,-2.1414059262280034,16.0
2007-07-04,2007-07-06,2007-07-05,308.089869200217,3,NERC,57.4074074074074,-2.0,22925.091643395237,312.998479544285,25,-2.1414059262280034,16.0
2007-07-04,2007-07-07,2007-07-06,305.91377698453,4,NERC,59.5555555555556,6.0,24148.746751333358,312.998479544285,25,-2.1414059262280034,16.0
2007-07-13,2007-07-15,2007-07-15,304.761302912534,3,NERC,56.4444444444445,17.0,25063.03066007096,312.998479544285,25,-2.1414059262280034,16.0
2007-08-01,2007-08-25,2007-08-16,312.111209495681,25,NERC,95.4545454545454,-21.0,32865.81089746299,312.998479544285,25,-2.1414059262280034,16.0
2007-08-01,2007-08-03,2007-08-02,304.09097064052,3,NERC,52.4590163934426,-2.0,33778.083809384545,312.998479544285,25,-2.1414059262280034,16.0
2007-08-01,2007-08-03,2007-08-02,304.101621081406,3,NERC,70.8333333333334,-2.0,34690.38867262876,312.998479544285,25,-2.1414059262280034,16.0
2007-08-04,2007-08-10,2007-08-09,308.427288316566,7,NERC,78.5407725321888,-3.0,36849.379690844726,312.998479544285,25,-2.1414059262280034,16.0
2007-08-07,2007-08-16,2007-08-12,311.913923902064,10,NERC,81.8791946308725,-8.0,39968.518929865364,312.998479544285,25,-2.1414059262280034,16.0
2007-08-07,2007-08-09,2007-08-08,304.351509055381,3,NERC,58.3333333333333,-2.0,40881.57345703151,312.998479544285,25,-2.1414059262280034,16.0
2007-08-08,2007-08-23,2007-08-22,311.762950942007,16,NERC,95.4545454545454,-14.0,45869.78067210362,312.998479544285,25,-2.1414059262280034,16.0
2007-08-09,2007-08-11,2007-08-11,307.995863342821,3,NERC,53.1645569620253,-1.0,46793.768262132086,312.998479544285,25,-2.1414059262280034,16.0
2007-08-10,2007-08-15,2007-08-13,312.998479544285,6,NERC,87.6543209876543,-3.0,48671.75913939779,312.998479544285,25,-2.1414059262280034,16.0
2007-08-12,2007-08-15,2007-08-14,312.070089845413,4,NERC,49.375,0.0,49920.03949877944,312.998479544285,25,-2.1414059262280034,16.0
2007-08-15,2007-08-17,2007-08-16,308.780636784553,3,NERC,61.3733905579399,3.0,50846.38140913311,312.998479544285,25,-2.1414059262280034,16.0
2007-08-20,2007-08-22,2007-08-21,307.686849458172,3,NERC,54.3859649122807,-2.0,51769.44195750762,312.998479544285,25,-2.1414059262280034,16.0
2007-08-20,2007-08-23,2007-08-21,308.063208183887,4,NERC,47.7272727272727,4.0,53001.69479024317,312.998479544285,25,-2.1414059262280034,16.0
2007-08-27,2007-08-29,2007-08-28,308.380343064751,3,NERC,48.3471074380165,4.0,53926.83581943742,312.998479544285,25,-2.1414059262280034,16.0
2007-09-02,2007-09-07,2007-09-04,307.377083282991,6,NERC,88.0165289256198,-2.0,55771.098319135366,312.998479544285,25,-2.1414059262280034,16.0
