"Estimate","Std. Error","z value","Pr(>|z|)","term","c_year_mean","dispersion","ref_extreme","ref_nerc"
-0.048834896031868,0.0861697801976361,-0.566728798888218,0.570898451542618,"as.factor(NERC_ID)NERC17",1999,10.0400131126036,"cold_dur_temp11","NERC1"
-0.0520494487614022,0.0862445000986163,-0.603510353725585,0.546169229828805,"as.factor(NERC_ID)NERC18",1999,10.0400131126036,"cold_dur_temp11","NERC1"
-0.0192134813573771,0.0856556956797171,-0.224310610110739,0.822515620873056,"as.factor(NERC_ID)NERC20",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.017193280154729,0.017268045837766,0.995670286971701,0.319410371529162,"c_year:extreme_typecold_dur_temp12",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0183564096612745,0.0165852540275344,1.10679098618566,0.268384306267426,"c_year:extreme_typecold_dur_temp13",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0201074035121977,0.0164123109933164,1.22514151239189,0.220521906623179,"c_year:extreme_typecold_dur_temp14",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0176639932221237,0.0179266466218035,0.985348436591576,0.324452948272199,"c_year:extreme_typecold_dur_temp21",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.056027918794768,0.0168441814519035,3.32624763956318,0.00088023686870932,"c_year:extreme_typecold_dur_temp22",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0738077205922241,0.0168093719043002,4.39086725027141,1.12899455069112e-05,"c_year:extreme_typecold_dur_temp23",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.114095693338715,0.0169239886072223,6.74165505464976,1.56592500389431e-11,"c_year:extreme_typecold_dur_temp24",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0570548608082779,0.0167534414646807,3.40556063830586,0.000660283481878063,"c_year:extreme_typecold_dur_temp31",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0741374305035473,0.0166486518002245,4.45305910611617,8.46554384065739e-06,"c_year:extreme_typecold_dur_temp32",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0763074355368295,0.0168476010097066,4.52927603715601,5.91861336810493e-06,"c_year:extreme_typecold_dur_temp33",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0846952130111987,0.0177496150838677,4.7716647719407,1.82709420915137e-06,"c_year:extreme_typecold_dur_temp34",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0569681255204526,0.0163347103185369,3.48755040092778,0.00048746703654014,"c_year:extreme_typecold_dur_temp41",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0755799340562614,0.0167773237368095,4.50488619292951,6.64085230262065e-06,"c_year:extreme_typecold_dur_temp42",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.0808620937254607,0.0182057116244486,4.4415783021011,8.93014389259094e-06,"c_year:extreme_typecold_dur_temp43",1999,10.0400131126036,"cold_dur_temp11","NERC1"
0.121741903997952,0.030286669530117,4.01965306475485,5.8283905435719e-05,"c_year:extreme_typecold_dur_temp44",1999,10.0400131126036,"cold_dur_temp11","NERC1"
