start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1999-09-02,1999-09-04,1999-09-04,301.417868852459,3,NERC,55.7377049180328,-2.0,43159.9214220404,312.469734042553,10,-1.241329787234008,-6.0
1999-09-02,1999-09-05,1999-09-04,308.907852348993,4,NERC,36.9127516778524,-2.0,44395.55283143637,312.469734042553,10,-1.241329787234008,-6.0
1999-09-02,1999-09-04,1999-09-03,300.974179104478,3,NERC,67.1641791044776,-2.0,45298.47536874981,312.469734042553,10,-1.241329787234008,-6.0
1999-09-03,1999-09-05,1999-09-05,306.965438596491,3,NERC,47.3684210526316,-2.0,46219.37168453928,312.469734042553,10,-1.241329787234008,-6.0
1999-09-03,1999-09-06,1999-09-04,306.845826446281,4,NERC,64.8760330578512,36.0,47446.75499032441,312.469734042553,10,-1.241329787234008,-6.0
1999-10-12,1999-10-14,1999-10-13,300.659772727273,3,NERC,34.0909090909091,13.0,48348.734308506224,312.469734042553,10,-1.241329787234008,-6.0
1999-10-27,1999-10-29,1999-10-28,299.329194630873,3,NERC,63.758389261745,-1.0,49246.72189239884,312.469734042553,10,-1.241329787234008,-6.0
1999-10-28,1999-10-31,1999-10-31,298.311694214876,4,NERC,47.5206611570248,5.0,50439.96866925835,312.469734042553,10,-1.241329787234008,-6.0
1999-11-05,1999-11-10,1999-11-08,298.44067114094,6,NERC,80.5369127516778,-4.0,52230.612696103984,312.469734042553,10,-1.241329787234008,-6.0
1999-11-06,1999-11-14,1999-11-13,298.946375,9,NERC,89.375,63.0,54921.13007110399,312.469734042553,10,-1.241329787234008,-6.0
2000-01-16,2000-01-20,2000-01-19,299.839574468085,5,NERC,75.0,20.0,1499.197872340425,314.952340425532,13,2.482606382978986,3.0
2000-02-09,2000-02-11,2000-02-10,299.659095744681,3,NERC,48.4042553191489,13.0,2398.175159574468,314.952340425532,13,2.482606382978986,3.0
2000-02-24,2000-02-26,2000-02-24,298.223271604938,3,NERC,47.5308641975309,9.0,3292.844974389282,314.952340425532,13,2.482606382978986,3.0
2000-03-06,2000-03-09,2000-03-07,299.673641975309,4,NERC,68.5185185185185,-2.0,4491.5395422905185,314.952340425532,13,2.482606382978986,3.0
2000-03-07,2000-03-10,2000-03-10,298.692933884298,4,NERC,51.2396694214876,-3.0,5686.31127782771,314.952340425532,13,2.482606382978986,3.0
2000-03-07,2000-03-11,2000-03-08,299.428197424893,5,NERC,81.1158798283262,46.0,7183.452264952175,314.952340425532,13,2.482606382978986,3.0
2000-04-26,2000-04-28,2000-04-27,302.677272727273,3,NERC,52.2727272727273,5.0,8091.484083133994,314.952340425532,13,2.482606382978986,3.0
2000-05-03,2000-05-07,2000-05-05,301.91694092827,5,NERC,90.084388185654,-4.0,9601.068787775344,314.952340425532,13,2.482606382978986,3.0
2000-05-03,2000-05-06,2000-05-04,303.353409090909,4,NERC,61.3636363636364,-3.0,10814.48242413898,314.952340425532,13,2.482606382978986,3.0
2000-05-03,2000-05-07,2000-05-05,299.374069767442,5,NERC,67.4418604651163,-2.0,12311.35277297619,314.952340425532,13,2.482606382978986,3.0
2000-05-05,2000-05-09,2000-05-07,299.676557377049,5,NERC,81.9672131147541,-4.0,13809.735559861434,314.952340425532,13,2.482606382978986,3.0
2000-05-05,2000-05-09,2000-05-06,300.49380952381,5,NERC,87.3015873015873,-3.0,15312.204607480486,314.952340425532,13,2.482606382978986,3.0
2000-05-06,2000-05-10,2000-05-07,302.622360515021,5,NERC,77.2532188841202,-3.0,16825.31641005559,314.952340425532,13,2.482606382978986,3.0
2000-05-06,2000-05-09,2000-05-09,301.505785123967,4,NERC,42.9752066115703,-3.0,18031.339550551456,314.952340425532,13,2.482606382978986,3.0
2000-05-06,2000-05-08,2000-05-07,308.54170212766,3,NERC,44.6808510638298,-2.0,18956.964656934437,314.952340425532,13,2.482606382978986,3.0
