start_date,end_date,centroid_date,highest_temperature,duration,NERC_ID,spatial_coverage,inter_event_recovery_interval_days
1997-08-29,1997-09-01,1997-09-01,304.635548523207,4,NERC18,55.6962025316456,296.0
1998-06-24,1998-06-28,1998-06-26,304.50052742616,5,NERC18,78.9029535864979,8.0
1998-07-06,1998-07-15,1998-07-14,305.615991561181,10,NERC18,96.6244725738397,3.0
1998-07-18,1998-07-21,1998-07-20,307.747510548523,4,NERC18,92.6160337552743,19.0
1998-08-09,1998-08-10,1998-08-09,304.323185654008,2,NERC18,74.0506329113924,9.0
1998-08-19,1998-08-24,1998-08-23,305.926772151899,6,NERC18,82.7004219409283,12.0
1998-09-05,1998-09-06,1998-09-05,306.880506329114,2,NERC18,45.9915611814346,272.0
1999-06-05,1999-06-06,1999-06-05,303.050126582278,2,NERC18,60.126582278481,2.0
1999-06-08,1999-06-09,1999-06-08,303.277616033755,2,NERC18,62.6582278481013,16.0
1999-06-25,1999-06-26,1999-06-25,303.548945147679,2,NERC18,77.6371308016878,7.0
1999-07-03,1999-07-05,1999-07-04,305.449556962025,3,NERC18,82.9113924050633,9.0
1999-07-14,1999-07-16,1999-07-15,304.380147679325,3,NERC18,85.8649789029536,3.0
1999-07-19,1999-07-31,1999-07-29,309.146033755274,13,NERC18,96.8354430379747,26.0
1999-08-26,1999-08-28,1999-08-27,306.019156118143,3,NERC18,89.873417721519,285.0
2000-06-08,2000-06-10,2000-06-08,306.629219409283,3,NERC18,80.168776371308,21.0
2000-07-01,2000-07-02,2000-07-02,304.732953586498,2,NERC18,44.0928270042194,2.0
2000-07-04,2000-07-16,2000-07-09,306.315843881857,13,NERC18,91.3502109704641,9.0
2000-07-25,2000-07-28,2000-07-27,303.712784810127,4,NERC18,59.915611814346,2.0
2000-07-30,2000-08-02,2000-08-01,306.211772151899,4,NERC18,88.8185654008439,2.0
2000-08-04,2000-08-15,2000-08-14,309.450253164557,12,NERC18,87.9746835443038,8.0
2000-08-23,2000-08-28,2000-08-28,307.575,6,NERC18,74.0506329113924,2.0
2000-08-30,2000-08-31,2000-08-30,307.24611814346,2,NERC18,43.6708860759494,297.0
2001-06-24,2001-06-30,2001-06-25,304.890421940928,7,NERC18,94.0928270042194,7.0
2001-07-07,2001-07-10,2001-07-08,305.690675105485,4,NERC18,94.5147679324895,6.0
2001-07-16,2001-07-24,2001-07-22,307.360443037975,9,NERC18,96.8354430379747,5.0
2001-07-29,2001-08-09,2001-08-07,308.669324894515,12,NERC18,97.4683544303798,12.0
2001-08-21,2001-08-23,2001-08-22,305.863776371308,3,NERC18,76.7932489451477,3.0
2001-08-26,2001-08-27,2001-08-26,304.337151898734,2,NERC18,48.3122362869198,9.0
2001-09-05,2001-09-06,2001-09-05,305.728945147679,2,NERC18,48.3122362869198,266.0
2002-05-30,2002-06-01,2002-05-30,303.522067510549,3,NERC18,50.6329113924051,8.0
2002-06-09,2002-06-10,2002-06-09,302.796962025316,2,NERC18,64.9789029535865,12.0
2002-06-22,2002-07-09,2002-06-30,308.934050632911,18,NERC18,97.4683544303798,5.0
2002-07-14,2002-07-22,2002-07-20,309.682869198312,9,NERC18,96.6244725738397,3.0
2002-07-25,2002-08-01,2002-07-31,309.596919831224,8,NERC18,94.7257383966245,2.0
2002-08-03,2002-08-05,2002-08-03,305.113122362869,3,NERC18,55.6962025316456,3.0
2002-08-08,2002-08-09,2002-08-08,304.398396624473,2,NERC18,41.9831223628692,2.0
2002-08-11,2002-08-12,2002-08-11,307.097130801688,2,NERC18,64.1350210970464,13.0
2002-08-25,2002-08-26,2002-08-26,304.03276371308,2,NERC18,62.6582278481013,5.0
2002-08-31,2002-09-02,2002-09-01,306.286286919831,3,NERC18,77.2151898734177,2.0
2002-09-04,2002-09-09,2002-09-07,308.273016877637,6,NERC18,91.3502109704641,287.0
2003-06-23,2003-06-24,2003-06-24,303.049725738397,2,NERC18,52.5316455696203,7.0
2003-07-01,2003-07-07,2003-07-03,306.806793248945,7,NERC18,95.7805907172996,6.0
2003-07-13,2003-07-20,2003-07-17,306.586582278481,8,NERC18,71.3080168776371,5.0
2003-07-25,2003-07-27,2003-07-26,308.652953586498,3,NERC18,88.1856540084388,2.0
2003-07-29,2003-07-31,2003-07-29,304.579852320675,3,NERC18,63.7130801687764,7.0
2003-08-07,2003-08-11,2003-08-09,304.832594936709,5,NERC18,67.0886075949367,2.0
2003-08-13,2003-08-28,2003-08-24,311.026814345992,16,NERC18,96.6244725738397,9.0
2003-09-06,2003-09-07,2003-09-06,306.676139240506,2,NERC18,41.5611814345992,274.0
2004-06-07,2004-06-08,2004-06-07,304.519367088608,2,NERC18,60.5485232067511,32.0
2004-07-10,2004-07-13,2004-07-12,304.546983122363,4,NERC18,82.4894514767933,2.0
2004-07-15,2004-07-16,2004-07-15,303.28529535865,2,NERC18,51.6877637130802,3.0
2004-07-19,2004-07-22,2004-07-20,306.005189873418,4,NERC18,92.8270042194093,10.0
2004-08-01,2004-08-03,2004-08-02,306.383164556962,3,NERC18,76.5822784810127,30.0
2004-09-02,2004-09-03,2004-09-02,305.38,2,NERC18,47.6793248945148,290.0
2005-06-20,2005-06-24,2005-06-23,306.609240506329,5,NERC18,91.3502109704641,2.0
2005-06-26,2005-06-29,2005-06-27,303.989113924051,4,NERC18,75.3164556962025,9.0
2005-07-08,2005-07-18,2005-07-16,307.591075949367,11,NERC18,96.8354430379747,2.0
2005-07-20,2005-07-25,2005-07-24,309.334008438819,6,NERC18,87.5527426160338,5.0
2005-07-30,2005-08-04,2005-08-02,308.99305907173,6,NERC18,95.9915611814346,3.0
2005-08-07,2005-08-10,2005-08-08,308.799345991561,4,NERC18,92.1940928270042,25.0
2005-09-04,2005-09-06,2005-09-04,306.751012658228,3,NERC18,74.4725738396625,3.0
2005-09-09,2005-09-12,2005-09-10,307.332552742616,4,NERC18,92.4050632911393,257.0
2006-05-27,2006-05-29,2006-05-28,305.30917721519,3,NERC18,84.1772151898734,17.0
2006-06-15,2006-06-17,2006-06-16,303.5444092827,3,NERC18,75.1054852320675,13.0
2006-06-30,2006-07-03,2006-06-30,306.257573839662,4,NERC18,85.4430379746836,4.0
2006-07-07,2006-07-09,2006-07-09,303.913143459916,3,NERC18,61.8143459915612,3.0
2006-07-12,2006-07-20,2006-07-16,311.420084388186,9,NERC18,97.2573839662447,3.0
2006-07-23,2006-08-12,2006-07-31,312.883565400844,21,NERC18,96.6244725738397,10.0
2006-08-22,2006-08-25,2006-08-23,306.926729957806,4,NERC18,66.6666666666667,294.0
2007-06-15,2007-06-17,2007-06-17,302.437426160338,3,NERC18,67.5105485232068,7.0
2007-06-24,2007-06-26,2007-06-26,304.877172995781,3,NERC18,86.0759493670886,7.0
2007-07-03,2007-07-09,2007-07-07,308.161793248945,7,NERC18,95.3586497890296,7.0
2007-07-16,2007-07-19,2007-07-17,305.242510548523,4,NERC18,78.4810126582278,3.0
2007-07-22,2007-08-03,2007-07-25,307.114915611814,13,NERC18,97.4683544303798,2.0
2007-08-05,2007-08-15,2007-08-14,307.898565400844,11,NERC18,93.4599156118144,12.0
2007-08-27,2007-08-28,2007-08-27,306.038396624473,2,NERC18,50.6329113924051,6.0
2007-09-03,2007-09-06,2007-09-04,306.201666666667,4,NERC18,82.7004219409283,294.0
2008-06-26,2008-06-27,2008-06-26,302.820063291139,2,NERC18,58.2278481012658,9.0
2008-07-06,2008-07-07,2008-07-06,303.99641350211,2,NERC18,56.3291139240506,3.0
2008-07-10,2008-07-11,2008-07-11,305.210907172996,2,NERC18,56.5400843881857,4.0
2008-07-15,2008-07-17,2008-07-15,304.055611814346,3,NERC18,78.6919831223629,3.0
2008-07-20,2008-07-21,2008-07-20,302.874071729958,2,NERC18,42.8270042194093,4.0
2008-07-25,2008-08-05,2008-08-03,305.307215189873,12,NERC18,81.6455696202532,26.0
2008-08-31,2008-09-01,2008-09-01,304.990168776371,2,NERC18,47.8902953586498,294.0
2009-06-22,2009-06-27,2009-06-23,305.524345991561,6,NERC18,79.3248945147679,42.0
2009-08-08,2009-08-09,2009-08-08,303.663312236287,2,NERC18,45.3586497890295,3.0
2009-08-12,2009-08-15,2009-08-13,305.44753164557,4,NERC18,88.3966244725738,311.0
2010-06-22,2010-06-23,2010-06-22,303.411012658228,2,NERC18,56.3291139240506,2.0
2010-06-25,2010-06-27,2010-06-26,303.748375527426,3,NERC18,68.9873417721519,5.0
2010-07-02,2010-07-04,2010-07-03,303.819198312236,3,NERC18,72.5738396624473,10.0
2010-07-14,2010-07-18,2010-07-17,305.663206751055,5,NERC18,80.8016877637131,4.0
2010-07-22,2010-07-23,2010-07-23,302.707341772152,2,NERC18,52.1097046413502,3.0
2010-07-26,2010-07-28,2010-07-27,305.492594936709,3,NERC18,77.4261603375528,3.0
2010-07-31,2010-08-04,2010-08-03,303.969029535865,5,NERC18,90.5063291139241,3.0
2010-08-07,2010-08-14,2010-08-12,306.316540084388,8,NERC18,95.5696202531646,6.0
2010-08-20,2010-08-23,2010-08-22,305.722869198312,4,NERC18,86.2869198312236,6.0
2010-08-29,2010-08-31,2010-08-29,304.646898734177,3,NERC18,82.0675105485232,279.0
2011-06-06,2011-06-07,2011-06-06,305.293417721519,2,NERC18,71.0970464135021,23.0
2011-06-30,2011-07-02,2011-06-30,306.578375527426,3,NERC18,78.9029535864979,2.0
2011-07-04,2011-07-05,2011-07-04,303.564578059072,2,NERC18,55.0632911392405,3.0
2011-07-08,2011-07-11,2011-07-10,304.858860759494,4,NERC18,81.0126582278481,4.0
2011-07-15,2011-08-06,2011-07-20,308.919852320675,23,NERC18,97.2573839662447,17.0
2011-08-23,2011-08-24,2011-08-23,307.270021097046,2,NERC18,51.6877637130802,8.0
2011-09-01,2011-09-02,2011-09-01,308.422278481013,2,NERC18,52.5316455696203,281.0
2012-06-09,2012-06-10,2012-06-09,303.551329113924,2,NERC18,67.9324894514768,8.0
2012-06-18,2012-06-19,2012-06-18,305.421793248945,2,NERC18,74.0506329113924,8.0
2012-06-27,2012-07-26,2012-07-23,310.437130801688,30,NERC18,96.8354430379747,2.0
2012-07-28,2012-08-04,2012-08-01,310.50335443038,8,NERC18,94.9367088607595,2.0
2012-08-06,2012-08-08,2012-08-07,308.275210970464,3,NERC18,69.831223628692,14.0
2012-08-22,2012-08-24,2012-08-22,307.609261603376,3,NERC18,87.7637130801688,3.0
2012-08-27,2012-09-04,2012-08-30,310.757974683544,9,NERC18,91.3502109704641,290.0
2013-06-21,2013-06-27,2013-06-25,304.028966244726,7,NERC18,85.4430379746836,8.0
2013-07-05,2013-07-09,2013-07-08,303.993227848101,5,NERC18,85.2320675105485,3.0
2013-07-12,2013-07-19,2013-07-18,306.194451476793,8,NERC18,94.9367088607595,31.0
2013-08-19,2013-08-22,2013-08-21,307.010126582278,4,NERC18,88.3966244725738,2.0
2013-08-24,2013-08-31,2013-08-26,308.950991561181,8,NERC18,96.6244725738397,6.0
2013-09-06,2013-09-11,2013-09-07,307.132383966245,6,NERC18,81.4345991561182,298.0
2014-07-06,2014-07-07,2014-07-06,305.337130801688,2,NERC18,48.3122362869198,13.0
2014-07-20,2014-07-22,2014-07-21,307.009578059072,3,NERC18,82.0675105485232,3.0
2014-07-25,2014-07-26,2014-07-26,303.514050632911,2,NERC18,35.6540084388186,24.0
2014-08-19,2014-08-22,2014-08-21,303.608839662447,4,NERC18,65.6118143459916,323.0
2015-07-11,2015-07-14,2015-07-12,305.767257383966,4,NERC18,88.8185654008439,3.0
2015-07-17,2015-07-18,2015-07-17,304.770316455696,2,NERC18,61.3924050632912,5.0
2015-07-23,2015-07-28,2015-07-27,305.05364978903,6,NERC18,95.3586497890296,3.0
2015-07-31,2015-08-02,2015-08-02,305.05335443038,3,NERC18,51.6877637130802,10.0
2015-08-12,2015-08-16,2015-08-14,306.037004219409,5,NERC18,94.9367088607595,14.0
2015-08-30,2015-09-06,2015-09-03,306.162995780591,8,NERC18,92.8270042194093,278.0
2016-06-10,2016-06-12,2016-06-10,305.50364978903,3,NERC18,74.4725738396625,5.0
2016-06-17,2016-06-20,2016-06-19,304.410611814346,4,NERC18,70.8860759493671,5.0
2016-06-25,2016-06-26,2016-06-25,304.304282700422,2,NERC18,59.0717299578059,9.0
2016-07-05,2016-07-06,2016-07-05,304.295654008439,2,NERC18,50.42194092827,4.0
2016-07-10,2016-07-13,2016-07-11,304.469915611814,4,NERC18,84.3881856540084,5.0
2016-07-18,2016-07-27,2016-07-21,307.578734177215,10,NERC18,96.8354430379747,5.0
2016-08-01,2016-08-04,2016-08-03,305.12641350211,4,NERC18,87.1308016877637,5.0
2016-08-09,2016-08-12,2016-08-10,305.386877637131,4,NERC18,82.0675105485232,4.0
2016-08-16,2016-08-18,2016-08-18,304.916033755274,3,NERC18,65.4008438818566,296.0
2017-06-10,2017-06-14,2017-06-10,303.233080168776,5,NERC18,70.042194092827,20.0
2017-07-04,2017-07-07,2017-07-06,306.014725738397,4,NERC18,90.5063291139241,2.0
2017-07-09,2017-07-12,2017-07-11,305.041983122363,4,NERC18,77.8481012658228,3.0
2017-07-15,2017-07-23,2017-07-21,306.530548523207,9,NERC18,87.9746835443038,2.0
2017-07-25,2017-07-27,2017-07-25,305.263417721519,3,NERC18,60.9704641350211,4.0
2017-07-31,2017-08-01,2017-08-01,302.844493670886,2,NERC18,32.7004219409283,296.0
2018-05-24,2018-05-29,2018-05-27,306.712573839662,6,NERC18,92.6160337552743,11.0
2018-06-09,2018-06-10,2018-06-10,303.242383966245,2,NERC18,62.2362869198312,5.0
2018-06-15,2018-06-18,2018-06-15,305.716202531646,4,NERC18,74.0506329113924,10.0
2018-06-28,2018-06-30,2018-06-29,307.721286919831,3,NERC18,89.451476793249,3.0
2018-07-03,2018-07-05,2018-07-04,305.319746835443,3,NERC18,82.7004219409283,2.0
2018-07-07,2018-07-16,2018-07-12,306.041033755274,10,NERC18,96.4135021097047,18.0
2018-08-03,2018-08-06,2018-08-03,305.494894514768,4,NERC18,87.3417721518987,2.0
2018-08-08,2018-08-14,2018-08-12,306.606962025316,7,NERC18,94.7257383966245,3.0
2018-08-17,2018-08-18,2018-08-18,303.600759493671,2,NERC18,60.9704641350211,8.0
2018-08-26,2018-08-27,2018-08-27,304.060126582278,2,NERC18,49.1561181434599,304.0
2019-06-27,2019-07-04,2019-06-29,305.179599156118,8,NERC18,89.873417721519,4.0
2019-07-08,2019-07-09,2019-07-09,302.125801687764,2,NERC18,50.6329113924051,3.0
2019-07-12,2019-07-20,2019-07-19,306.366751054852,9,NERC18,95.9915611814346,6.0
2019-07-26,2019-07-28,2019-07-27,303.16135021097,3,NERC18,69.620253164557,7.0
2019-08-04,2019-08-06,2019-08-04,303.061687763713,3,NERC18,78.4810126582278,41.0
2019-09-16,2019-09-17,2019-09-16,303.334113924051,2,NERC18,46.4135021097046,259.0
2020-06-02,2020-06-03,2020-06-02,303.805147679325,2,NERC18,51.0548523206751,13.0
2020-06-16,2020-06-17,2020-06-17,302.938270042194,2,NERC18,54.0084388185654,9.0
2020-06-26,2020-07-11,2020-07-08,305.128438818565,16,NERC18,97.0464135021097,6.0
2020-07-17,2020-07-19,2020-07-18,306.069683544304,3,NERC18,88.3966244725738,5.0
2020-07-24,2020-07-29,2020-07-25,306.292995780591,6,NERC18,96.8354430379747,10.0
2020-08-08,2020-08-10,2020-08-09,305.681434599156,3,NERC18,83.3333333333333,2.0
2020-08-12,2020-08-14,2020-08-14,303.83329113924,3,NERC18,65.1898734177215,6.0
2020-08-20,2020-08-28,2020-08-26,307.029852320675,9,NERC18,93.0379746835443,280.0
2021-06-04,2021-06-11,2021-06-10,306.464957805907,8,NERC18,96.6244725738397,2.0
2021-06-13,2021-06-18,2021-06-17,306.124071729958,6,NERC18,82.9113924050633,6.0
2021-06-24,2021-06-25,2021-06-24,303.609894514768,2,NERC18,54.6413502109705,5.0
2021-06-30,2021-07-06,2021-07-05,306.229451476793,7,NERC18,97.0464135021097,10.0
2021-07-16,2021-07-30,2021-07-28,309.104493670886,15,NERC18,95.5696202531646,5.0
2021-08-04,2021-08-12,2021-08-10,306.97776371308,9,NERC18,95.5696202531646,3.0
