id,monitoring_location_name,site_type,state_name,county_name,county_code,hydrologic_unit_code,basin_code,altitude,altitude_accuracy,vertical_datum,vertical_datum_name,drainage_area,contributing_drainage_area,aquifer_code,national_aquifer_code,aquifer_type_code,county_significance
USGS-12445000,"OKANOGAN RIVER NEAR TONASKET, WA",Stream,Washington,Okanogan County,047,170200061808,,860.78,10.0,NGVD29,National Geodetic Vertical Datum of 1929,7260.0,,,,,core
USGS-12445500,"JOHNSON CREEK NEAR RIVERSIDE, WA",Stream,Washington,Okanogan County,047,170200062104,,944.48,0.1,NAVD88,North American Vertical Datum of 1988,68.2,,,,,core
USGS-12445900,"OMAK CREEK NEAR OMAK, WA",Stream,Washington,Okanogan County,047,170200061905,,1206.72,0.1,NAVD88,North American Vertical Datum of 1988,119.0,,,,,core
USGS-12446150,"NORTH FORK SALMON CREEK NEAR CONCONULLY, WA",Stream,Washington,Okanogan County,047,170200062003,,2844.32,0.13,NAVD88,North American Vertical Datum of 1988,36.7,,,,,core
USGS-12446400,"WEST FORK SALMON CREEK NEAR CONCONULLY, WA",Stream,Washington,Okanogan County,047,170200062002,,2278.58,0.11,NAVD88,North American Vertical Datum of 1988,64.6,,,,,core
USGS-12446995,"SALMON CREEK ABOVE DIVERSION NEAR OKANOGAN, WA",Stream,Washington,Okanogan County,047,170200062004,,1398.0,4.3,NAVD88,North American Vertical Datum of 1988,148.0,,,,,core
USGS-12447200,"OKANOGAN RIVER AT MALOTT, WA",Stream,Washington,Okanogan County,047,170200062205,,783.55,10.0,NGVD29,National Geodetic Vertical Datum of 1929,8080.0,,,,,core
USGS-12447285,"LOUP LOUP CREEK AT MALOTT, WA",Stream,Washington,Okanogan County,047,170200062203,,803.34,0.1,NAVD88,North American Vertical Datum of 1988,64.8,,,,,core
USGS-12447383,"METHOW RIVER ABOVE GOAT CREEK NEAR MAZAMA, WA",Stream,Washington,Okanogan County,047,170200080602,,2040.0,10.0,NGVD29,National Geodetic Vertical Datum of 1929,373.0,,,,,core
USGS-12447390,"ANDREWS CREEK NEAR MAZAMA, WA",Stream,Washington,Okanogan County,047,170200080304,,4271.56,0.11,NAVD88,North American Vertical Datum of 1988,22.1,,,,,core
USGS-12448000,"CHEWUCH RIVER AT WINTHROP, WA",Stream,Washington,Okanogan County,047,170200080408,,1736.26,10.0,NGVD29,National Geodetic Vertical Datum of 1929,525.0,,,,,core
USGS-12448500,"METHOW RIVER AT WINTHROP, WA",Stream,Washington,Okanogan County,047,170200080605,,1718.09,0.01,NGVD29,National Geodetic Vertical Datum of 1929,1007.0,,,,,core
USGS-12448998,"TWISP RIVER NEAR TWISP, WA",Stream,Washington,Okanogan County,047,170200080509,,1640.0,10.0,NGVD29,National Geodetic Vertical Datum of 1929,245.0,,,,,core
USGS-12449500,"METHOW RIVER AT TWISP, WA",Stream,Washington,Okanogan County,047,170200080610,,1580.0,10.0,NGVD29,National Geodetic Vertical Datum of 1929,1301.0,,,,,core
USGS-12449950,"METHOW RIVER NEAR PATEROS, WA",Stream,Washington,Okanogan County,047,170200080709,,900.0,10.0,NGVD29,National Geodetic Vertical Datum of 1929,1772.0,,,,,core
USGS-12451000,"STEHEKIN RIVER AT STEHEKIN, WA",Stream,Washington,Chelan County,007,170200090114,,1098.5,10.0,NGVD29,National Geodetic Vertical Datum of 1929,321.0,,,,,core
USGS-12452500,"CHELAN RIVER AT CHELAN, WA",Stream,Washington,Chelan County,007,170200090305,,,,,,924.0,,,,,core
USGS-12452550,"CHELAN R AT HABITAT 4 CHANNEL AT CHELAN FALLS, WA",Stream,Washington,Chelan County,007,170200090305,,721.0,1.6,NAVD88,North American Vertical Datum of 1988,,,,,,core
USGS-12452800,"ENTIAT RIVER NEAR ARDENVOIR, WA",Stream,Washington,Chelan County,007,170200100207,,1560.97,10.0,NGVD29,National Geodetic Vertical Datum of 1929,203.0,,,,,core
USGS-12452890,"MAD RIVER AT ARDENVOIR, WA",Stream,Washington,Chelan County,007,170200100103,,1260.0,20.0,NGVD29,National Geodetic Vertical Datum of 1929,92.4,92.4,,,,core
USGS-12452990,"ENTIAT RIVER NEAR ENTIAT, WA",Stream,Washington,Chelan County,007,170200100209,00,731.84,0.02,NAVD88,North American Vertical Datum of 1988,419.0,,,,,core
USGS-12456500,"CHIWAWA RIVER NEAR PLAIN, WA",Stream,Washington,Chelan County,007,170200110308,,2097.25,0.12,NAVD88,North American Vertical Datum of 1988,170.0,,,,,core
USGS-12457000,"WENATCHEE RIVER AT PLAIN, WA",Stream,Washington,Chelan County,007,170200110701,,1808.87,0.12,NAVD88,North American Vertical Datum of 1988,591.0,,,,,core
USGS-12458000,"ICICLE CREEK ABOVE SNOW CREEK NEAR LEAVENWORTH, WA",Stream,Washington,Chelan County,007,170200110406,,1414.27,0.12,NAVD88,North American Vertical Datum of 1988,193.0,,,,,core
USGS-12459000,"WENATCHEE RIVER AT PESHASTIN, WA",Stream,Washington,Chelan County,007,170200110706,,1031.71,0.12,NAVD88,North American Vertical Datum of 1988,1000.0,,,,,core
