"perm_num","start_yr","type","NERC_ID","start_date","end_date","centroid_date","extr_temp","duration","spatial_coverage","impact","extreme_type"
71,1989,"heat_wave","NERC18",1989-06-20,1989-06-21,1989-06-20,304.458541965972,2,55.2742616033755,1598.37046206104,"heat_dur_temp12"
72,1989,"heat_wave","NERC18",1989-06-25,1989-06-26,1989-06-26,301.114630102508,2,46.2025316455696,1027.04809807985,"heat_dur_temp11"
73,1989,"heat_wave","NERC18",1989-07-02,1989-07-03,1989-07-03,305.896778498624,2,55.4852320675106,1764.07288824393,"heat_dur_temp13"
74,1989,"heat_wave","NERC18",1989-07-05,1989-07-06,1989-07-05,307.813599927621,2,64.5569620253165,2299.98378812322,"heat_dur_temp14"
75,1989,"heat_wave","NERC18",1989-07-09,1989-07-12,1989-07-09,311.040994071383,4,82.2784810126582,6924.88412475896,"heat_dur_temp34"
76,1989,"heat_wave","NERC18",1989-07-24,1989-07-27,1989-07-27,306.860832505678,4,90.084388185654,6075.59112229916,"heat_dur_temp34"
77,1989,"heat_wave","NERC18",1989-07-31,1989-08-05,1989-08-04,310.292436376479,6,98.1012658227848,11944.2821709655,"heat_dur_temp44"
78,1990,"heat_wave","NERC18",1990-06-12,1990-06-13,1990-06-12,303.032482963234,2,57.1729957805907,1490.21218693519,"heat_dur_temp11"
79,1990,"heat_wave","NERC18",1990-06-26,1990-06-30,1990-06-26,304.25146128373,5,91.9831223628692,6554.46953555515,"heat_dur_temp32"
80,1990,"heat_wave","NERC18",1990-07-02,1990-07-04,1990-07-03,309.289273117747,3,92.1940928270042,5335.071109149,"heat_dur_temp24"
81,1990,"heat_wave","NERC18",1990-07-08,1990-07-09,1990-07-08,303.834320100268,2,48.7341772151899,1348.40841483625,"heat_dur_temp12"
82,1990,"heat_wave","NERC18",1990-07-17,1990-07-19,1990-07-17,303.861904647255,3,55.0632911392405,2289.84627400858,"heat_dur_temp22"
83,1990,"heat_wave","NERC18",1990-07-26,1990-07-29,1990-07-28,301.540332951,4,90.7172995780591,4187.63136618565,"heat_dur_temp31"
84,1990,"heat_wave","NERC18",1990-08-03,1990-08-04,1990-08-03,301.306446334165,2,33.7552742616034,763.30439386768,"heat_dur_temp11"
85,1990,"heat_wave","NERC18",1990-08-17,1990-08-18,1990-08-17,303.434600320018,2,75.5274261603376,2029.36156732761,"heat_dur_temp11"
86,1990,"heat_wave","NERC18",1990-08-24,1990-08-28,1990-08-27,306.576198256525,5,78.2700421940928,6487.0986847793,"heat_dur_temp34"
87,1990,"heat_wave","NERC18",1990-09-04,1990-09-06,1990-09-06,306.220085124729,3,57.5949367088608,2802.5843285133,"heat_dur_temp23"
88,1991,"heat_wave","NERC18",1991-05-12,1991-05-13,1991-05-12,301.731559228253,2,39.873417721519,935.554723265745,"heat_dur_temp11"
89,1991,"heat_wave","NERC18",1991-05-15,1991-05-16,1991-05-15,300.205459009811,2,51.2658227848101,1046.38250606923,"heat_dur_temp11"
90,1991,"heat_wave","NERC18",1991-05-22,1991-05-24,1991-05-22,300.742131566277,3,70.4641350210971,2270.8050273016,"heat_dur_temp21"
91,1991,"heat_wave","NERC18",1991-05-28,1991-06-03,1991-05-28,302.771857731163,7,70.042194092827,6261.98256692463,"heat_dur_temp41"
92,1991,"heat_wave","NERC18",1991-06-13,1991-06-15,1991-06-14,302.289493679579,3,81.0126582278481,2986.81365377109,"heat_dur_temp21"
93,1991,"heat_wave","NERC18",1991-06-20,1991-06-21,1991-06-20,301.951107946307,2,56.3291139240506,1346.39064205231,"heat_dur_temp11"
94,1991,"heat_wave","NERC18",1991-06-26,1991-07-02,1991-06-26,306.228623894641,7,87.5527426160338,9946.02371601942,"heat_dur_temp43"
95,1991,"heat_wave","NERC18",1991-07-06,1991-07-07,1991-07-07,304.193538038573,2,54.2194092827004,1539.13049616593,"heat_dur_temp12"
96,1991,"heat_wave","NERC18",1991-07-11,1991-07-12,1991-07-11,300.370383965084,2,39.662447257384,822.629614107929,"heat_dur_temp11"
97,1991,"heat_wave","NERC18",1991-07-16,1991-07-22,1991-07-18,306.343626672482,7,98.5232067510549,11271.585568005,"heat_dur_temp43"
98,1991,"heat_wave","NERC18",1991-08-25,1991-08-30,1991-08-26,307.802619899192,6,97.2573839662447,10388.6174348449,"heat_dur_temp44"
99,1991,"heat_wave","NERC18",1991-09-08,1991-09-09,1991-09-09,303.011952794616,2,66.6666666666667,1734.92703928213,"heat_dur_temp11"
100,1991,"heat_wave","NERC18",1991-09-14,1991-09-15,1991-09-15,301.38798423539,2,43.6708860759494,994.646724356847,"heat_dur_temp11"
101,1992,"heat_wave","NERC18",1992-08-09,1992-08-10,1992-08-09,305.700673791103,2,66.8776371308017,2100.04792902095,"heat_dur_temp13"
102,1993,"heat_wave","NERC18",1993-06-22,1993-06-24,1993-06-22,301.598070558953,3,57.1729957805907,1989.28931739004,"heat_dur_temp21"
103,1993,"heat_wave","NERC18",1993-07-03,1993-07-05,1993-07-03,301.46904702768,3,59.493670886076,2047.00712772517,"heat_dur_temp21"
104,1993,"heat_wave","NERC18",1993-07-17,1993-07-19,1993-07-19,300.237117206149,3,62.6582278481013,1924.3188672318,"heat_dur_temp21"
105,1993,"heat_wave","NERC18",1993-07-24,1993-07-28,1993-07-27,301.827046046407,5,74.8945147679325,4428.90437391824,"heat_dur_temp31"
106,1993,"heat_wave","NERC18",1993-07-31,1993-08-01,1993-07-31,301.072815069686,2,41.9831223628692,929.742699944098,"heat_dur_temp11"
107,1993,"heat_wave","NERC18",1993-08-09,1993-08-12,1993-08-10,303.19050896634,4,87.7637130801688,4630.59217721304,"heat_dur_temp31"
108,1993,"heat_wave","NERC18",1993-08-14,1993-08-19,1993-08-17,301.970238288613,6,75.1054852320675,5394.18333005852,"heat_dur_temp41"
109,1993,"heat_wave","NERC18",1993-08-23,1993-08-27,1993-08-25,303.879613827488,5,70.8860759493671,4919.35679961601,"heat_dur_temp32"
110,1994,"heat_wave","NERC18",1994-06-13,1994-06-23,1994-06-14,305.569292141915,11,82.9113924050633,14199.5885927212,"heat_dur_temp43"
111,1994,"heat_wave","NERC18",1994-07-04,1994-07-07,1994-07-05,305.011729489562,4,80.8016877637131,4851.89231603566,"heat_dur_temp33"
112,1994,"heat_wave","NERC18",1994-07-19,1994-07-20,1994-07-19,305.253155306006,2,34.5991561181435,1055.49260345358,"heat_dur_temp13"
113,1994,"heat_wave","NERC18",1994-08-25,1994-08-27,1994-08-27,306.230468093695,3,60.126582278481,2927.64772576144,"heat_dur_temp23"
114,1994,"heat_wave","NERC18",1994-09-13,1994-09-15,1994-09-14,303.622849472865,3,62.6582278481013,2560.75081863349,"heat_dur_temp22"
115,1995,"heat_wave","NERC18",1995-06-16,1995-06-25,1995-06-17,304.413874597927,10,97.8902953586498,14109.7844165362,"heat_dur_temp42"
116,1995,"heat_wave","NERC18",1995-07-04,1995-07-05,1995-07-04,299.109783710809,2,36.4978902953587,664.975772983104,"heat_dur_temp11"
117,1995,"heat_wave","NERC18",1995-07-09,1995-07-16,1995-07-13,309.46449813217,8,97.6793248945148,15210.2322956873,"heat_dur_temp44"
118,1995,"heat_wave","NERC18",1995-07-22,1995-07-25,1995-07-24,302.466810028842,4,56.3291139240506,2808.97744953655,"heat_dur_temp31"
119,1995,"heat_wave","NERC18",1995-07-27,1995-07-28,1995-07-28,303.836942583004,2,40.7172995780591,1126.80587279315,"heat_dur_temp12"
120,1995,"heat_wave","NERC18",1995-07-30,1995-07-31,1995-07-30,306.325336320772,2,30.168776371308,985.030841295526,"heat_dur_temp13"
121,1995,"heat_wave","NERC18",1995-08-03,1995-08-14,1995-08-12,305.019005266201,12,96.6244725738397,17414.4415491647,"heat_dur_temp43"
122,1995,"heat_wave","NERC18",1995-08-16,1995-08-19,1995-08-18,305.545607847413,4,92.4050632911393,5745.97150815772,"heat_dur_temp33"
123,1995,"heat_wave","NERC18",1995-08-23,1995-08-30,1995-08-30,305.710494604029,8,79.1139240506329,9943.35101520823,"heat_dur_temp43"
124,1996,"heat_wave","NERC18",1996-05-18,1996-05-19,1996-05-18,302.855356084699,2,43.6708860759494,1122.80958208131,"heat_dur_temp11"
125,1996,"heat_wave","NERC18",1996-06-16,1996-06-17,1996-06-16,298.833011032957,2,46.4135021097046,819.941952426389,"heat_dur_temp11"
126,1996,"heat_wave","NERC18",1996-06-27,1996-06-30,1996-06-28,305.254903128627,4,97.2573839662447,5934.60788379498,"heat_dur_temp33"
127,1996,"heat_wave","NERC18",1996-07-17,1996-07-19,1996-07-18,304.937698142474,3,89.0295358649789,3989.68899754685,"heat_dur_temp22"
128,1996,"heat_wave","NERC18",1996-08-04,1996-08-07,1996-08-06,305.76280599048,4,79.957805907173,5041.43752775689,"heat_dur_temp33"
129,1997,"heat_wave","NERC18",1997-06-20,1997-06-25,1997-06-23,304.314919186896,6,88.1856540084388,7574.22306344625,"heat_dur_temp42"
130,1997,"heat_wave","NERC18",1997-06-28,1997-07-01,1997-07-01,303.975599153057,4,85.4430379746836,4776.47059661441,"heat_dur_temp32"
131,1997,"heat_wave","NERC18",1997-07-12,1997-07-14,1997-07-13,305.016367462461,3,85.6540084388186,3858.63619605011,"heat_dur_temp23"
132,1997,"heat_wave","NERC18",1997-07-16,1997-07-21,1997-07-16,306.851727585897,6,96.8354430379747,9791.06704041356,"heat_dur_temp44"
133,1997,"heat_wave","NERC18",1997-07-24,1997-07-28,1997-07-26,307.118999651265,5,95.3586497890296,8162.22346241751,"heat_dur_temp34"
134,1997,"heat_wave","NERC18",1997-08-02,1997-08-03,1997-08-02,305.037161892983,2,74.4725738396625,2239.71229882827,"heat_dur_temp13"
135,1998,"heat_wave","NERC18",1998-06-24,1998-06-29,1998-06-27,304.722607967608,6,79.3248945147679,7007.21594407671,"heat_dur_temp42"
136,1998,"heat_wave","NERC18",1998-07-05,1998-07-15,1998-07-14,304.893964594091,11,97.8902953586498,16037.7205249453,"heat_dur_temp42"
137,1998,"heat_wave","NERC18",1998-07-19,1998-07-22,1998-07-20,306.909828275389,4,84.3881856540084,5707.9589115237,"heat_dur_temp34"
138,1998,"heat_wave","NERC18",1998-08-09,1998-08-10,1998-08-09,304.074223950254,2,37.1308016877637,1045.17443681211,"heat_dur_temp12"
139,1998,"heat_wave","NERC18",1998-08-20,1998-08-23,1998-08-23,305.855001192909,4,78.6919831223629,4990.64594510976,"heat_dur_temp33"
140,1999,"heat_wave","NERC18",1999-06-05,1999-06-11,1999-06-05,304.016828542164,7,78.6919831223629,7721.08424548316,"heat_dur_temp42"
141,1999,"heat_wave","NERC18",1999-06-22,1999-06-23,1999-06-22,301.673067084392,2,62.2362869198312,1452.97670459732,"heat_dur_temp11"
142,1999,"heat_wave","NERC18",1999-06-26,1999-06-27,1999-06-26,303.292876866419,2,57.8059071729958,1536.81361240456,"heat_dur_temp11"
143,1999,"heat_wave","NERC18",1999-07-03,1999-07-06,1999-07-04,306.07885919303,4,84.8101265822785,5454.60033383802,"heat_dur_temp33"
144,1999,"heat_wave","NERC18",1999-07-14,1999-07-16,1999-07-15,304.78873670047,3,83.7552742616034,3715.90409499151,"heat_dur_temp22"
145,1999,"heat_wave","NERC18",1999-07-18,1999-07-26,1999-07-25,307.315693421861,9,97.8902953586498,15255.3450906522,"heat_dur_temp44"
146,1999,"heat_wave","NERC18",1999-07-28,1999-07-31,1999-07-30,309.263445306672,4,95.3586497890296,7347.74453891624,"heat_dur_temp34"
147,1999,"heat_wave","NERC18",1999-08-27,1999-08-28,1999-08-27,305.120194361499,2,64.3459915611814,1945.84779757687,"heat_dur_temp13"
148,1999,"heat_wave","NERC18",1999-09-02,1999-09-04,1999-09-02,304.057576860599,3,46.2025316455696,1948.48691928556,"heat_dur_temp22"
149,2000,"heat_wave","NERC18",2000-06-08,2000-06-10,2000-06-08,305.82535981406,3,61.8143459915612,2934.70280096176,"heat_dur_temp23"
150,2000,"heat_wave","NERC18",2000-07-04,2000-07-14,2000-07-09,306.047847541444,11,91.5611814345992,16162.9586841464,"heat_dur_temp43"
151,2000,"heat_wave","NERC18",2000-08-05,2000-08-06,2000-08-06,303.916166861035,2,39.2405063291139,1092.1548675749,"heat_dur_temp12"
152,2000,"heat_wave","NERC18",2000-08-08,2000-08-09,2000-08-08,306.0869633549,2,46.2025316455696,1486.51686697177,"heat_dur_temp13"
153,2000,"heat_wave","NERC18",2000-08-11,2000-08-13,2000-08-11,306.276688990228,3,63.7130801687764,3111.11397154991,"heat_dur_temp23"
154,2001,"heat_wave","NERC18",2001-06-11,2001-06-14,2001-06-11,303.869953586021,4,59.0717299578059,3277.28861104293,"heat_dur_temp32"
155,2001,"heat_wave","NERC18",2001-06-25,2001-06-30,2001-06-25,303.965928259927,6,90.295358649789,7566.351006644,"heat_dur_temp42"
156,2001,"heat_wave","NERC18",2001-07-07,2001-07-10,2001-07-08,305.484659982926,4,86.7088607594937,5370.62890547054,"heat_dur_temp33"
157,2001,"heat_wave","NERC18",2001-07-16,2001-07-24,2001-07-22,306.835585988333,9,98.7341772151899,14960.2295744427,"heat_dur_temp44"
158,2001,"heat_wave","NERC18",2001-07-30,2001-08-09,2001-08-07,308.218927716834,11,99.367088607595,19913.9798525141,"heat_dur_temp44"
159,2001,"heat_wave","NERC18",2001-08-22,2001-08-23,2001-08-22,305.33725035661,2,64.3459915611814,1973.78116403631,"heat_dur_temp13"
160,2002,"heat_wave","NERC18",2002-06-09,2002-06-11,2002-06-10,303.360744315875,3,65.6118143459916,2629.86802673236,"heat_dur_temp21"
161,2002,"heat_wave","NERC18",2002-06-19,2002-06-26,2002-06-25,305.94531294163,8,92.1940928270042,11760.5092919701,"heat_dur_temp43"
162,2002,"heat_wave","NERC18",2002-06-28,2002-07-10,2002-06-30,307.848217335707,13,98.7341772151899,22908.9776941859,"heat_dur_temp44"
163,2002,"heat_wave","NERC18",2002-07-18,2002-07-22,2002-07-21,309.254089715728,5,94.9367088607595,9139.59954860507,"heat_dur_temp34"
164,2002,"heat_wave","NERC18",2002-07-26,2002-08-01,2002-07-31,308.84739882745,7,91.7721518987342,12107.6644366213,"heat_dur_temp44"
165,2002,"heat_wave","NERC18",2002-08-04,2002-08-05,2002-08-04,304.31035823443,2,63.9240506329114,1829.55212870561,"heat_dur_temp12"
