Test_Idx,Baseline,Actual_+15m,Multi-RF_+15m,Multi-XGB_+15m,MLP_+15m,LSTM_+15m,Transformer_+15m,Persistent_+15m,Actual_+60m,Multi-RF_+60m,Multi-XGB_+60m,MLP_+60m,LSTM_+60m,Transformer_+60m,Persistent_+60m,Actual_+240m,Multi-RF_+240m,Multi-XGB_+240m,MLP_+240m,LSTM_+240m,Transformer_+240m,Persistent_+240m,Actual_+1440m,Multi-RF_+1440m,Multi-XGB_+1440m,MLP_+1440m,LSTM_+1440m,Transformer_+1440m,Persistent_+1440m
71646,5.598100078055552,5.569766953055556,5.597593047138875,5.598272794693742,5.598617889681748,5.603143151612869,5.600470301458529,5.598100078055552,5.591142678055554,5.5980875473850364,5.600457919990561,5.600043098438448,5.613663431951693,5.598087590882471,5.598100078055552,5.564736738769838,5.594932323143585,5.605844543544492,5.60039394022516,5.623092652061871,5.600108203241518,5.598100078055552,5.573846836388888,5.62723629120831,5.631242197701624,5.629369810918263,5.615399789759806,5.636961699226788,5.598100078055552
71647,5.56889463638889,5.604848128055554,5.568387605472213,5.56906735302708,5.569412448015086,5.574462115801893,5.571260657664411,5.56889463638889,5.602200394722221,5.568882105718375,5.571252478323899,5.570837656771786,5.5855138511769695,5.568858039136998,5.56889463638889,5.600579636388886,5.565726881476923,5.576639101877831,5.571188498558499,5.596236121412389,5.570735093709104,5.56889463638889,5.558009961388887,5.598030849541648,5.614667922761313,5.600164369251601,5.593367066737287,5.607710965480678,5.56889463638889
71648,5.607096319722221,5.584391753055556,5.6065892888055435,5.60726903636041,5.6076141313484165,5.6129889415411505,5.609461670445487,5.607096319722221,5.564520486388886,5.607083789051705,5.609454161657229,5.609039340105117,5.623728464992926,5.607040708588645,5.607096319722221,5.60324639472222,5.6039285648102535,5.614840785211161,5.609390181891829,5.632227977441833,5.6088079863062354,5.607096319722221,5.585391019722223,5.6362325328749785,5.641097331123635,5.6383660525849315,5.628410717176482,5.645975062327668,5.607096319722221
71649,5.58571468638889,5.579632644722224,5.585207655472213,5.58588740302708,5.586232498015086,5.5919731116916935,5.588059592718999,5.58571468638889,5.601960244722221,5.585702155718375,5.588072528323899,5.587657706771786,5.6028312963496845,5.58556677746288,5.58571468638889,5.564006586388885,5.582546931476923,5.5934591518778305,5.5880085485584985,5.611418645555894,5.587007526035229,5.58571468638889,5.563963011388886,5.614850899541648,5.618856806034962,5.616984419251601,5.6073360030602615,5.62382122101895,5.58571468638889
71650,5.577619803055555,5.602294661388889,5.577112772138878,5.577792519693745,5.578137614681751,5.583746762863726,5.579966691240102,5.577619803055555,5.6017092280555545,5.577607272385039,5.579977644990564,5.579562823438451,5.5944193703228535,5.577496063813001,5.577619803055555,5.60504373638889,5.574452048143588,5.585364268544495,5.579913665225163,5.605171413078338,5.579095435246259,5.577619803055555,5.56279716138889,5.606756016208313,5.623393089427978,5.608889535918266,5.599274513229162,5.615571842446357,5.577619803055555
71651,5.60715526972222,5.5706076697222215,5.606648238805543,5.60732798636041,5.607673081348416,5.613305714691755,5.609501204232451,5.60715526972222,5.565153803055555,5.607142739051705,5.609513111657229,5.609098290105116,5.624084383959648,5.607007226685759,5.60715526972222,5.596672644722222,5.603987514810253,5.614899735211161,5.609449131891829,5.633507498319027,5.608456945757148,5.60715526972222,5.583808419722221,5.636291482874978,5.641156281123635,5.638425002584931,5.6288758132259815,5.645218203554627,5.60715526972222
71652,5.573553161388887,5.591359211388884,5.57304613047221,5.573725878027076,5.574070973015083,5.579550301349414,5.575900809532655,5.573553161388887,5.599272586388889,5.573540630718371,5.575911003323895,5.575496181771783,5.590085107526434,5.573435561424745,5.573553161388887,5.572258611388886,5.57038540647692,5.581297626877827,5.575847023558495,5.601988563007367,5.57506622529651,5.573553161388887,5.552652594722218,5.602689374541645,5.61932644776131,5.604822894251598,5.5957848594250805,5.611495537376655,5.573553161388887
71653,5.58908751138889,5.603992303055556,5.588580480472213,5.589260228027079,5.5896053230150855,5.595017477380416,5.5914352042361415,5.58908751138889,5.59377351972222,5.589074980718374,5.591445353323898,5.591030531771786,5.605725112347237,5.588959421007267,5.58908751138889,5.604005636388887,5.5859197564769225,5.59683197687783,5.591381373558498,5.618067250563136,5.590525577752224,5.58908751138889,5.574455903055558,5.6182237245416475,5.622229631034962,5.6203572442516005,5.613472680537335,5.627070396183363,5.58908751138889
71654,5.605056728055551,5.570827328055557,5.604549697138874,5.605229444693741,5.605574539681747,5.610774636553451,5.607404942443445,5.605056728055551,5.576344353055553,5.605044197385036,5.60741456999056,5.606999748438447,5.621151049440577,5.604926044871881,5.605056728055551,5.585573428055554,5.601888973143584,5.612801193544492,5.60735059022516,5.632740885769799,5.606486568977907,5.605056728055551,5.581661344722221,5.634192941208309,5.639057739456966,5.636326460918262,5.6270698409581925,5.642997695883587,5.605056728055551
71655,5.562932703055555,5.602448469722219,5.562425672138878,5.563105419693745,5.563450514681751,5.5696888033935075,5.565279829658682,5.562932703055555,5.607605236388885,5.56292017238504,5.565290544990564,5.564875723438451,5.580952546902115,5.56278311029833,5.562932703055555,5.583740586388885,5.559764948143588,5.570677168544496,5.565226565225164,5.593062428169066,5.564147937454397,5.562932703055555,5.549613794722223,5.592068916208313,5.608705989427978,5.594202435918266,5.593330460943395,5.60121828258794,5.562932703055555
71656,5.59887696972222,5.60235079472222,5.598369938805543,5.599049686360409,5.5993947813484155,5.6058063365715824,5.6012247370752775,5.59887696972222,5.5826794363888865,5.598864439051704,5.601234811657228,5.600819990105116,5.616474786606737,5.598727749494024,5.59887696972222,5.6079179947222215,5.5957092148102525,5.60662143521116,5.601170831891828,5.627444183287331,5.600123317745634,5.59887696972222,5.582196361388888,5.6280131828749775,5.632019089368292,5.6301467025849306,5.624303893950888,5.637063404378601,5.59887696972222
