year,month,pdo,nino34,pna,amo
1968,8,0.19,0.16,1.3,-0.226
1968,9,0.06,0.01,-0.87,-0.162
1968,10,-0.34,0.04,0.45,-0.126
1968,11,-0.44,0.5,0.83,-0.12
1968,12,-1.27,0.67,-1.74,-0.139
1969,1,-1.26,0.95,-2.96,-0.075
1969,2,-0.95,1.11,-1.97,0.092
1969,3,-0.5,0.54,0.47,0.194
1969,4,-0.44,0.31,0.48,0.136
1969,5,-0.2,0.35,1.02,-0.002
1969,6,0.89,-0.04,2.11,0.016
1969,7,0.1,-0.21,0.51,0.081
1969,8,-0.81,0.16,-0.69,-0.114
1969,9,-0.66,0.43,1.31,-0.12
1969,10,1.12,0.62,0.55,-0.198
1969,11,0.15,0.4,0.13,-0.137
1969,12,1.38,0.38,1.53,-0.044
1970,1,0.61,0.28,0.12,-0.023
1970,2,0.43,0.2,1.01,-0.061
1970,3,1.33,-0.14,0.49,0.006
1970,4,0.43,-0.08,-0.66,0.007
1970,5,-0.49,-0.3,-0.5,-0.059
1970,6,0.06,-0.69,0.23,-0.195
1970,7,-0.68,-1.08,0.74,-0.213
1970,8,-1.63,-1.26,-0.6,-0.153
1970,9,-1.67,-1.07,-0.39,-0.151
1970,10,-1.39,-1.12,-0.95,-0.209
1970,11,-0.8,-1.13,-1.15,-0.253
1970,12,-0.97,-1.33,-1.09,-0.222
1971,1,-1.9,-1.73,-2.43,-0.259
1971,2,-1.74,-1.57,-0.16,-0.305
1971,3,-1.68,-1.36,-0.28,-0.323
1971,4,-1.59,-1.18,0.23,-0.426
1971,5,-1.55,-0.98,1.09,-0.339
1971,6,-1.55,-1.13,0.51,-0.376
1971,7,-2.2,-1.17,-1.74,-0.362
1971,8,-0.15,-1.1,-0.81,-0.448
1971,9,0.21,-1.0,0.15,-0.379
1971,10,-0.22,-1.24,-1.35,-0.248
1971,11,-1.25,-1.15,-0.26,-0.256
1971,12,-1.87,-1.23,-1.76,-0.321
1972,1,-1.99,-0.92,-2.46,-0.331
1972,2,-1.83,-0.45,-2.27,-0.393
1972,3,-2.09,-0.19,-0.1,-0.452
1972,4,-1.65,0.07,-1.95,-0.339
1972,5,-1.57,0.38,0.21,-0.482
1972,6,-1.87,0.45,-0.15,-0.501
1972,7,-0.83,0.85,-1.13,-0.388
1972,8,0.25,1.09,-0.04,-0.396
1972,9,0.17,1.23,0.13,-0.316
1972,10,0.11,1.54,-1.49,-0.299
1972,11,0.57,1.9,0.53,-0.29
1972,12,-0.33,2.09,-0.86,-0.364
1973,1,-0.46,1.8,-0.88,-0.387
1973,2,-0.61,1.2,-0.14,-0.406
1973,3,-0.5,0.27,0.53,-0.357
1973,4,-0.69,-0.58,0.11,-0.277
1973,5,-0.76,-0.97,0.67,-0.182
1973,6,-0.97,-1.18,1.01,-0.188
1973,7,-0.57,-1.54,-0.26,-0.117
1973,8,-1.14,-1.63,-0.95,-0.146
1973,9,-0.51,-1.66,-0.27,-0.144
1973,10,-0.87,-1.98,-0.74,-0.229
1973,11,-1.81,-2.37,-1.66,-0.222
1973,12,-0.76,-2.26,0.23,-0.251
1974,1,-1.22,-2.09,-1.54,-0.289
1974,2,-1.65,-1.66,-1.5,-0.296
1974,3,-0.9,-1.45,-1.1,-0.414
1974,4,-0.52,-1.36,-0.73,-0.536
1974,5,-0.28,-1.29,-0.4,-0.513
1974,6,-0.31,-1.2,-1.36,-0.46
1974,7,-0.08,-0.9,-0.09,-0.528
1974,8,0.27,-0.52,0.9,-0.481
1974,9,0.44,-0.64,0.35,-0.519
1974,10,-0.1,-0.94,0.93,-0.521
1974,11,0.43,-1.09,0.53,-0.439
1974,12,-0.12,-0.97,0.38,-0.374
1975,1,-0.84,-0.45,-1.2,-0.286
1975,2,-0.71,-0.68,-0.51,-0.351
1975,3,-0.51,-1.09,-0.81,-0.322
1975,4,-1.3,-0.96,-0.67,-0.358
1975,5,-1.02,-1.13,0.6,-0.401
1975,6,-1.16,-1.5,-0.31,-0.308
1975,7,-0.4,-1.39,-1.53,-0.285
1975,8,-1.07,-1.52,-1.1,-0.198
1975,9,-1.23,-1.66,-0.23,-0.349
1975,10,-1.29,-1.83,-0.65,-0.367
1975,11,-2.08,-1.66,-0.63,-0.354
1975,12,-1.61,-1.93,-0.16,-0.335
1976,1,-1.14,-2.01,-0.25,-0.398
1976,2,-1.85,-1.26,-2.38,-0.454
1976,3,-0.96,-0.82,-1.78,-0.507
1976,4,-0.89,-0.93,0.92,-0.439
1976,5,-0.68,-0.74,0.58,-0.501
1976,6,-0.67,-0.38,-1.32,-0.497
1976,7,0.61,-0.16,-0.12,-0.32
1976,8,1.28,0.12,-0.62,-0.198
1976,9,0.82,0.3,-0.04,-0.206
1976,10,1.11,0.75,0.91,-0.306
1976,11,1.25,0.71,1.72,-0.429
1976,12,1.22,0.49,0.21,-0.445
1977,1,1.65,0.78,1.6,-0.402
1977,2,1.11,0.37,2.43,-0.346
1977,3,0.72,0.19,-0.69,-0.196
1977,4,0.3,-0.38,-0.32,-0.23
1977,5,0.31,-0.21,-0.56,-0.183
1977,6,0.42,0.01,0.57,-0.12
1977,7,0.19,0.09,-1.04,-0.119
1977,8,0.64,-0.01,2.2,-0.158
1977,9,-0.55,0.4,-0.72,-0.245
1977,10,-0.61,0.63,1.25,-0.237
1977,11,-0.72,0.48,-0.22,-0.156
1977,12,-0.69,0.7,-0.8,-0.218
1978,1,0.34,0.62,0.13,-0.119
1978,2,1.45,0.25,1.4,-0.16
1978,3,1.34,-0.2,-0.18,-0.171
1978,4,1.29,-0.7,-0.19,-0.208
1978,5,0.9,-0.74,-0.73,-0.217
1978,6,0.15,-0.71,-0.92,-0.346
1978,7,-1.24,-0.55,-2.43,-0.289
1978,8,-0.56,-0.79,0.02,-0.24
1978,9,-0.44,-0.71,1.38,-0.203
1978,10,0.1,-0.46,0.69,-0.22
1978,11,-0.07,-0.38,-0.48,-0.132
1978,12,-0.43,-0.06,-1.02,-0.195
1979,1,-0.58,-0.13,-1.54,-0.205
1979,2,-1.33,-0.22,-2.73,-0.164
1979,3,0.3,-0.02,0.08,-0.241
1979,4,0.89,0.02,-0.15,-0.25
1979,5,1.09,-0.25,1.27,-0.13
1979,6,0.17,-0.29,-1.64,-0.055
1979,7,0.84,-0.47,0.51,-0.107
1979,8,0.52,-0.1,0.67,-0.128
1979,9,1.0,0.28,1.02,-0.122
1979,10,1.06,0.11,1.85,-0.1
1979,11,0.48,0.29,0.51,-0.098
1979,12,-0.42,0.52,-0.68,-0.072
1980,1,-0.11,0.54,-1.01,-0.014
1980,2,1.32,0.22,2.03,-0.091
