water_year,month,cal_year,cal_month,mean_flow_cfs,volume_kcfs_days
1953,Jul,1953,7,308868.0,9574.908
1953,Aug,1953,8,147746.0,4580.126
1953,Sep,1953,9,92279.0,2768.37
1954,Oct,1953,10,83169.0,2578.239
1954,Nov,1953,11,88239.0,2647.17
1954,Dec,1953,12,88509.0,2743.779
1954,Jan,1954,1,80423.0,2493.113
1954,Feb,1954,2,107475.0,3009.3
1954,Mar,1954,3,108787.0,3372.397
1954,Apr,1954,4,176005.0,5280.15
1954,May,1954,5,489527.0,15175.337
1954,Jun,1954,6,515207.0,15456.21
1954,Jul,1954,7,440189.0,13645.859
1954,Aug,1954,8,189473.0,5873.663
1954,Sep,1954,9,135837.0,4075.11
1955,Oct,1954,10,92051.0,2853.581
1955,Nov,1954,11,104800.0,3144.0
1955,Dec,1954,12,87156.0,2701.836
1955,Jan,1955,1,71387.0,2212.997
1955,Feb,1955,2,69742.0,1952.776
1955,Mar,1955,3,66317.0,2055.827
1955,Apr,1955,4,128708.0,3861.24
1955,May,1955,5,300013.0,9300.403
1955,Jun,1955,6,572666.0,17179.98
1955,Jul,1955,7,374083.0,11596.573
1955,Aug,1955,8,150823.0,4675.513
1955,Sep,1955,9,91202.0,2736.06
1956,Oct,1955,10,94764.0,2937.684
1956,Nov,1955,11,122293.0,3668.79
1956,Dec,1955,12,151144.0,4685.464
1956,Jan,1956,1,132256.0,4099.936
1956,Feb,1956,2,89420.0,2593.18
1956,Mar,1956,3,146417.0,4538.927
1956,Apr,1956,4,362175.0,10865.25
1956,May,1956,5,640500.0,19855.5
1956,Jun,1956,6,632247.0,18967.41
1956,Jul,1956,7,286548.0,8882.988
1956,Aug,1956,8,141696.0,4392.576
1956,Sep,1956,9,95232.0,2856.96
1957,Oct,1956,10,93320.0,2892.92
1957,Nov,1956,11,83701.0,2511.03
1957,Dec,1956,12,95171.0,2950.301
1957,Jan,1957,1,64966.0,2013.946
1957,Feb,1957,2,87207.0,2441.796
1957,Mar,1957,3,142190.0,4407.89
1957,Apr,1957,4,196330.0,5889.9
1957,May,1957,5,668328.0,20718.168
1957,Jun,1957,6,469108.0,14073.24
1957,Jul,1957,7,188478.0,5842.818
1957,Aug,1957,8,112698.0,3493.638
1957,Sep,1957,9,79456.0,2383.68
1958,Oct,1957,10,77119.0,2390.689
1958,Nov,1957,11,72604.0,2178.12
1958,Dec,1957,12,74935.0,2322.985
1958,Jan,1958,1,78616.0,2437.096
1958,Feb,1958,2,135924.0,3805.872
1958,Mar,1958,3,120098.0,3723.038
1958,Apr,1958,4,217506.0,6525.18
1958,May,1958,5,560605.0,17378.755
1958,Jun,1958,6,447800.0,13434.0
1958,Jul,1958,7,186329.0,5776.199
